year,month,day,spend_acf,spend_aer,spend_all,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,24,-0.0051,-0.0236,-0.00644,-0.00579,-0.00752,-0.00654,-0.00952,-0.00954,-0.00328,-0.00584
2020,1,25,0.00202,-0.0182,0.000432,-0.000625,-0.00201,0.00199,0.004,0.00991,-0.00469,0.000839
2020,1,26,-0.00896,-0.0222,-0.00271,-0.000425,-0.00668,-0.00315,0.00152,0.0192,-0.00647,0.00272
2020,1,27,-0.0135,-0.00762,-0.0122,-0.011,-0.0159,-0.0119,-0.00671,-0.0098,-0.00755,-0.0157
2020,1,28,-0.0155,-0.0127,-0.0137,-0.0133,-0.0163,-0.0132,-0.00492,-0.0182,-0.00243,-0.00987
2020,1,29,-0.00174,-0.00688,-0.0173,-0.019,-0.0183,-0.0158,-0.000716,-0.0186,-0.0105,-0.0206
2020,1,30,0.0018,-0.00851,-0.0077,-0.0102,-0.00884,-0.00553,0.0118,-0.00523,0.00185,-0.024
2020,1,31,0.0019,0.00145,-0.00175,-0.00553,-0.000535,0.000573,0.0179,0.00378,-0.00352,-0.0204
2020,2,1,0.0019,-0.016,-0.00195,-0.00501,-0.00344,0.000756,0.0226,0.0197,-0.00517,-0.0204
2020,2,2,-0.0105,-0.0353,-0.0125,-0.0166,-0.0154,-0.00876,0.00712,0.00444,-0.00608,-0.0374
2020,2,3,-0.0026,-0.000936,-0.00211,-0.00462,-0.00324,-0.000094,0.0133,-0.00804,-0.000731,-0.0132
2020,2,4,0.000878,0.00815,0.00431,0.00189,0.00289,0.00627,0.0163,0.00541,0.00597,-0.0108
2020,2,5,-0.00438,-0.00324,0.00763,0.00817,0.00427,0.00793,0.0032,0.00949,0.00744,-0.0142
2020,2,6,-0.0133,0.00866,0.0000112,0.00405,-0.00614,-0.00137,-0.0129,-0.0048,0.00135,-0.0239
2020,2,7,-0.0219,0.033,0.0000564,0.00682,-0.0101,-0.00204,-0.00897,-0.0138,0.00466,-0.0272
2020,2,8,-0.0187,0.0563,0.00451,0.0133,-0.00641,0.00116,-0.0053,-0.0229,0.00646,-0.0292
2020,2,9,-0.0077,0.0793,0.0156,0.0255,0.00683,0.0107,0.00107,-0.0078,0.00967,-0.0165
2020,2,10,-0.0148,0.0456,0.00438,0.0112,-0.00462,0.00187,-0.00475,0.0124,0.0122,-0.0414
2020,2,11,-0.0197,0.041,-0.00154,0.00448,-0.0105,-0.00342,-0.00368,0.00332,0.00516,-0.0424
2020,2,12,-0.0144,0.0685,0.00193,0.00759,-0.00682,0.000235,0.0092,0.01,0.0124,-0.0375
2020,2,13,-0.0105,0.0685,0.00335,0.00844,-0.0038,0.00153,0.0131,0.00574,0.0066,-0.0327
2020,2,14,-0.0112,0.0582,0.00196,0.0045,-0.00444,0.00168,0.011,0.00607,0.0094,-0.0308
