year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,24,1,-0.000859,0.0358,0.00634,0.0219,0.000657,0.00687,-0.0213,0.00718,0.057,-0.0176
2020,1,24,2,0.00713,0.0492,-0.0264,-0.0106,.,-0.0699,0.159,-0.0327,-0.154,-0.0723
2020,1,24,4,-0.00915,0.0449,-0.0126,-0.00749,-0.00918,-0.0167,-0.0119,-0.0116,0.0207,-0.0461
2020,1,24,5,0.0244,-0.0527,-0.00707,0.0048,-0.00166,-0.0108,0.00842,-0.028,0.00586,0.00444
2020,1,24,6,0.00413,-0.00378,0.00813,0.00719,0.0124,0.00905,-0.0115,0.0161,0.0203,-0.00473
2020,1,24,8,0.00501,-0.0305,0.0135,0.0141,0.0029,0.015,0.0161,0.034,-0.00813,0.0178
2020,1,24,9,0.039,-0.0149,-0.00544,-0.0159,-0.00116,0.0184,-0.0171,0.00418,0.031,0.0373
2020,1,24,10,-0.0491,-0.0521,-0.00716,0.00187,-0.0432,-0.00994,-0.075,-0.0209,0.129,0.0363
2020,1,24,11,-0.00066,0.00528,-0.00252,0.00384,-0.0491,-0.00417,-0.0493,-0.00575,0.129,0.0115
2020,1,24,12,-0.0197,-0.0438,-0.0145,-0.0133,-0.0249,-0.0107,-0.00964,-0.011,-0.0186,-0.00569
2020,1,24,13,-0.0126,-0.0944,-0.0137,-0.0255,-0.0107,-0.00776,0.000435,-0.00171,-0.0169,0.0163
2020,1,24,15,0.00707,-0.0899,0.0108,-0.0042,0.109,0.0304,-0.00308,-0.0137,0.152,-0.00599
2020,1,24,16,-0.00105,0.047,-0.0135,-0.0508,-0.018,-0.0103,-0.00888,-0.00313,0.0172,-0.03
2020,1,24,17,0.000613,-0.184,-0.0318,-0.043,-0.0272,-0.0249,-0.0433,-0.0311,-0.0351,-0.0594
2020,1,24,18,0.00982,-0.00537,-0.0138,-0.0523,-0.000658,-0.00794,0.0515,-0.0331,-0.106,-0.0173
2020,1,24,19,-0.012,0.0408,-0.0126,-0.0266,0.00615,-0.00957,-0.0068,-0.0504,-0.0191,-0.0477
2020,1,24,20,0.075,0.0308,0.0329,0.073,0.0631,0.0151,0.104,0.016,-0.0772,0.0405
2020,1,24,21,0.0197,-0.00943,-0.00464,-0.000173,-0.00394,-0.0039,0.0153,-0.0205,-0.0531,-0.0496
2020,1,24,22,0.0133,-0.302,0.00306,-0.00713,-0.0234,0.0184,0.0167,0.000542,0.0646,-0.0366
