year,month,day,case_rate,new_case_rate
2020,1,21,0.000305,.
2020,1,22,0.000305,.
2020,1,23,0.000305,.
2020,1,24,0.000609,.
2020,1,25,0.000914,.
2020,1,26,0.00152,.
2020,1,27,0.00152,0.000174
2020,1,28,0.00152,0.000174
2020,1,29,0.00152,0.000174
2020,1,30,0.00183,0.000218
2020,1,31,0.00213,0.000218
2020,2,1,0.00244,0.000218
2020,2,2,0.00335,0.000261
2020,2,3,0.00335,0.000261
2020,2,4,0.00335,0.000261
2020,2,5,0.00366,0.000305
2020,2,6,0.00366,0.000261
2020,2,7,0.00366,0.000218
2020,2,8,0.00366,0.000174
2020,2,9,0.00366,0.0000435
2020,2,10,0.00396,0.000087
2020,2,11,0.00396,0.000087
2020,2,12,0.00427,0.000087
2020,2,13,0.00457,0.000131
2020,2,14,0.00457,0.000131
2020,2,15,0.00457,0.000131
2020,2,16,0.00457,0.000131
2020,2,17,0.00762,0.000522
2020,2,18,0.00762,0.000522
2020,2,19,0.00762,0.000479
2020,2,20,0.00823,0.000522
2020,2,21,0.00914,0.000653
2020,2,22,0.00914,0.000653
2020,2,23,0.00914,0.000653
2020,2,24,0.0131,0.000783
2020,2,25,0.0137,0.00087
2020,2,26,0.0183,0.00152
2020,2,27,0.0183,0.00144
2020,2,28,0.0198,0.00152
2020,2,29,0.0213,0.00174
2020,3,1,0.0268,0.00252
2020,3,2,0.0317,0.00265
2020,3,3,0.0381,0.00348
2020,3,4,0.049,0.0044
2020,3,5,0.0695,0.00731
2020,3,6,0.0947,0.0107
2020,3,7,0.13,0.0156
2020,3,8,0.167,0.02
2020,3,9,0.228,0.028
2020,3,10,0.31,0.0389
2020,3,11,0.385,0.048
2020,3,12,0.508,0.0627
2020,3,13,0.677,0.0831
2020,3,14,0.881,0.107
2020,3,15,1.09,0.132
2020,3,16,1.37,0.163
2020,3,17,1.8,0.212
2020,3,18,2.54,0.308
2020,3,19,3.77,0.466
2020,3,20,5.48,0.686
2020,3,21,7.46,0.94
2020,3,22,10.1,1.28
2020,3,23,13.2,1.69
2020,3,24,16.4,2.09
2020,3,25,20.9,2.62
2020,3,26,26,3.18
2020,3,27,31.3,3.69
2020,3,28,37.7,4.32
2020,3,29,43.3,4.76
2020,3,30,49.9,5.23
2020,3,31,57.3,5.84
2020,4,1,65.5,6.37
2020,4,2,74.5,6.93
2020,4,3,84.3,7.58
2020,4,4,95,8.18
2020,4,5,103,8.49
2020,4,6,112,8.9
2020,4,7,121,9.16
2020,4,8,131,9.37
2020,4,9,142,9.58
2020,4,10,152,9.63
2020,4,11,161,9.48
2020,4,12,170,9.54
2020,4,13,177,9.32
2020,4,14,186,9.16
2020,4,15,195,9.09
2020,4,16,204,8.96
2020,4,17,214,8.87
2020,4,18,222,8.73
2020,4,19,230,8.66
2020,4,20,238,8.72
2020,4,21,246,8.69
2020,4,22,255,8.64
2020,4,23,265,8.72
2020,4,24,276,8.94
2020,4,25,287,9.21
2020,4,26,295,9.27
2020,4,27,302,9.08
2020,4,28,310,9.03
2020,4,29,318,8.93
2020,4,30,327,8.8
2020,5,1,337,8.68
2020,5,2,346,8.46
2020,5,3,354,8.43
2020,5,4,361,8.38
2020,5,5,368,8.34
2020,5,6,375,8.25
2020,5,7,384,8.17
2020,5,8,392,7.89
2020,5,9,400,7.7
2020,5,10,406,7.44
2020,5,11,412,7.26
2020,5,12,418,7.2
2020,5,13,425,7.05
2020,5,14,433,6.98
2020,5,15,441,6.92
2020,5,16,448,6.87
2020,5,17,454,6.81
2020,5,18,460,6.99
2020,5,19,467,6.93
2020,5,20,474,7.01
2020,5,21,482,6.96
2020,5,22,489,6.86
2020,5,23,496,6.8
2020,5,24,502,6.84
2020,5,25,508,6.72
2020,5,26,513,6.63
2020,5,27,519,6.44
2020,5,28,526,6.3
2020,5,29,533,6.33
2020,5,30,540,6.38
2020,5,31,547,6.41
2020,6,1,553,6.53
2020,6,2,560,6.61
2020,6,3,566,6.66
2020,6,4,572,6.61
2020,6,5,581,6.79
2020,6,6,587,6.74
2020,6,7,593,6.65
2020,6,8,599,6.49
2020,6,9,604,6.4
2020,6,10,611,6.54
2020,6,11,618,6.63
2020,6,12,626,6.49
2020,6,13,634,6.62
2020,6,14,640,6.64
2020,6,15,646,6.72
2020,6,16,653,6.99
2020,6,17,661,7.1
2020,6,18,670,7.31
2020,6,19,679,7.54
2020,6,20,689,7.83
2020,6,21,697,8.15
2020,6,22,706,8.6
2020,6,23,717,9.04
2020,6,24,728,9.53
2020,6,25,740,10
2020,6,26,754,10.7
2020,6,27,766,11.1
2020,6,28,778,11.7
2020,6,29,790,12.1
2020,6,30,805,12.6
2020,7,1,820,13.2
2020,7,2,837,13.9
2020,7,3,854,14.4
2020,7,4,870,14.8
2020,7,5,883,15
2020,7,6,898,15.3
2020,7,7,914,15.6
2020,7,8,932,16
2020,7,9,950,16.2
2020,7,10,971,16.7
2020,7,11,989,17.1
2020,7,12,1007,17.7
2020,7,13,1026,18.3
